Season,Cultivar,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,final_outcome_flag,post_decision_status,risk_review_code,yield_class
2,96R29 IPRO,3,65.0,12.8,57.4,138.0,2.4,3.2,167.22,1,positive_final,B07,low
2,96R29 IPRO,4,63.47,14.93,46.13,109.0,2.38,2.87,157.2,1,positive_final,C31,low
2,74K75RSF CE,1,70.4,14.0,50.4,118.4,2.35,4.4,162.2,0,negative_final,B07,high
2,74K75RSF CE,2,82.2,14.4,44.0,97.4,2.21,2.8,168.01,0,negative_final,B07,high
2,74K75RSF CE,3,74.0,15.4,66.4,111.0,1.67,4.0,174.2,0,negative_final,A12,high
2,74K75RSF CE,4,75.53,14.6,53.6,108.93,2.08,3.73,176.96,0,negative_final,B07,high
2,FTR 3868 IPRO,1,82.0,18.2,36.6,93.0,2.54,2.4,163.69,0,negative_final,B07,high
2,FTR 3868 IPRO,2,77.4,15.8,36.0,86.4,2.4,1.8,164.92,0,negative_final,C31,high
2,FTR 3868 IPRO,3,72.4,15.2,43.2,89.4,2.07,3.0,163.33,0,negative_final,A12,high
2,FTR 3868 IPRO,4,77.27,16.4,38.6,89.6,2.34,2.4,157.72,0,negative_final,B07,high
2,GNS7700 IPRO,1,79.8,13.6,61.8,166.0,2.69,2.8,162.02,1,positive_final,B07,low
2,GNS7700 IPRO,2,70.6,21.8,43.6,122.8,2.82,2.0,162.85,1,positive_final,B07,low
2,GNS7700 IPRO,3,75.0,15.0,47.0,98.0,2.09,2.2,168.54,1,positive_final,C31,low
2,GNS7700 IPRO,4,75.13,16.8,50.8,128.93,2.53,2.33,171.37,1,positive_final,B07,low
2,ELISA IPRO,1,67.0,13.6,53.2,165.0,3.1,3.8,178.0,0,negative_final,B07,high
2,ELISA IPRO,2,70.6,19.4,42.6,99.0,2.32,3.4,175.4,0,negative_final,A12,high
2,ELISA IPRO,3,74.8,14.0,36.0,83.0,2.31,3.0,173.6,0,negative_final,C31,high
2,ELISA IPRO,4,70.8,15.67,43.93,115.67,2.58,3.4,177.4,0,negative_final,B07,high
2,79I81RSF IPRO,1,69.0,9.6,62.8,140.0,2.23,3.0,201.3,0,negative_final,B07,high
2,79I81RSF IPRO,2,64.4,8.4,61.8,159.0,2.57,2.2,196.72,0,negative_final,A12,high
2,79I81RSF IPRO,3,68.6,11.0,61.4,157.0,2.56,3.4,198.38,0,negative_final,A12,high
2,79I81RSF IPRO,4,67.33,9.67,62.0,152.0,2.45,2.87,193.0,0,negative_final,A12,high
2,NEO 790 IPRO,1,64.0,11.4,75.6,241.0,3.19,4.6,189.85,1,positive_final,B07,low
2,NEO 790 IPRO,2,64.0,15.4,50.4,121.2,2.4,4.0,192.48,0,negative_final,C31,low
2,NEO 790 IPRO,3,63.6,17.0,87.2,215.6,2.47,4.6,190.0,0,negative_final,A12,high
2,NEO 790 IPRO,4,63.87,14.6,71.07,192.6,2.69,4.4,193.04,0,negative_final,A12,high
2,PAULA IPRO,1,73.0,10.4,87.6,181.8,2.08,4.0,184.2,1,positive_final,B07,low
2,PAULA IPRO,2,78.2,11.6,76.0,105.8,1.39,4.0,185.66,0,negative_final,A12,high
2,PAULA IPRO,3,66.4,9.6,69.6,123.2,1.77,3.0,180.83,0,positive_final,B07,high
2,PAULA IPRO,4,72.53,10.53,77.73,136.93,1.75,3.67,185.47,1,positive_final,C31,low
2,FTR 3179 IPRO,1,75.4,13.6,53.2,100.4,1.89,1.8,156.6,1,positive_final,A12,low
2,FTR 3179 IPRO,2,74.2,11.4,53.0,93.6,1.77,2.0,143.24,1,positive_final,C31,low
2,FTR 3179 IPRO,3,74.4,13.6,48.4,94.6,1.95,2.0,142.2,1,positive_final,C31,low
2,FTR 3179 IPRO,4,74.67,12.87,51.53,96.2,1.87,1.93,145.3,1,positive_final,B07,low
2,LAT 1330BT,1,76.4,12.2,37.6,91.8,2.44,2.0,190.98,0,positive_final,A12,low
2,LAT 1330BT,2,63.6,19.8,63.0,139.4,2.21,2.4,200.04,1,positive_final,B07,low
2,LAT 1330BT,3,66.6,12.6,34.4,78.4,2.28,1.6,211.24,1,positive_final,B07,low
2,LAT 1330BT,4,68.87,14.87,45.0,103.2,2.31,2.0,208.97,1,positive_final,B07,low
2,FTR 4280 IPRO,1,67.0,12.2,55.2,89.6,1.62,5.4,179.42,1,positive_final,B07,low
2,FTR 4280 IPRO,2,67.4,13.8,70.0,160.4,2.29,3.8,180.25,1,positive_final,C31,low
2,FTR 4280 IPRO,3,64.4,13.4,47.2,82.6,1.75,3.4,186.33,0,positive_final,B07,low
2,FTR 4280 IPRO,4,66.27,13.13,57.47,110.87,1.89,4.2,177.21,1,positive_final,C31,low
2,ATAQUE I2X,1,80.8,21.0,81.4,173.8,2.14,5.6,152.05,0,negative_final,A12,high
2,ATAQUE I2X,2,63.4,21.2,51.6,103.0,2.0,3.6,155.08,0,negative_final,A12,high
2,ATAQUE I2X,3,69.6,19.6,77.0,205.6,2.67,5.4,161.59,0,negative_final,B07,high
2,ATAQUE I2X,4,71.27,20.6,70.0,160.8,2.27,4.87,166.22,0,negative_final,B07,high
2,SYN2282IPRO,1,63.0,16.2,79.4,182.4,2.3,4.0,205.57,0,negative_final,B07,high
2,SYN2282IPRO,2,66.6,18.6,60.0,121.4,2.02,3.8,194.94,0,negative_final,A12,high
2,SYN2282IPRO,3,64.2,18.4,70.4,125.2,1.78,3.6,204.17,0,negative_final,A12,high
2,SYN2282IPRO,4,64.6,17.73,69.93,143.0,2.03,3.8,204.89,0,negative_final,A12,high
2,82I78RSF IPRO,1,86.8,19.0,106.4,191.6,1.8,3.6,171.6,1,positive_final,B07,low
2,82I78RSF IPRO,2,87.2,19.4,92.8,201.0,2.17,5.0,172.59,1,positive_final,C31,low
2,82I78RSF IPRO,3,87.8,24.2,79.6,146.0,1.83,4.8,169.62,1,positive_final,B07,low
2,82I78RSF IPRO,4,87.27,20.87,92.93,179.53,1.93,4.47,162.59,0,positive_final,A12,high
2,M 8644 IPRO,1,63.6,12.2,32.0,80.8,2.53,3.2,159.15,1,positive_final,C31,low
2,M 8644 IPRO,2,60.8,11.0,43.2,104.2,2.41,3.0,164.86,1,positive_final,B07,low
2,M 8644 IPRO,3,61.4,9.2,34.0,85.4,2.51,2.8,163.72,1,positive_final,B07,low
2,M 8644 IPRO,4,61.93,10.8,36.4,90.13,2.48,3.0,157.93,1,positive_final,B07,low
2,MONSOY M8606I2X,1,78.2,8.0,81.4,249.8,3.07,4.8,150.53,0,negative_final,A12,high
2,MONSOY M8606I2X,2,63.0,7.2,109.4,440.0,4.02,4.4,150.82,0,negative_final,B07,high
2,MONSOY M8606I2X,3,67.2,8.6,102.0,209.0,2.05,4.0,153.97,0,negative_final,B07,high
2,MONSOY M8606I2X,4,69.47,7.93,97.6,299.6,3.05,4.4,154.1,0,negative_final,B07,high
2,NK 8770 IPRO,1,89.8,15.6,97.6,208.0,2.13,3.2,173.64,1,positive_final,B07,low
2,NK 8770 IPRO,2,87.6,15.0,55.0,104.0,1.89,2.2,175.92,1,positive_final,C31,low
2,NK 8770 IPRO,3,91.4,18.2,60.2,141.4,2.35,3.6,166.68,1,positive_final,C31,low
2,NK 8770 IPRO,4,89.6,16.27,70.93,151.13,2.12,3.0,160.81,1,positive_final,B07,low
2,FTR 4288 IPRO,1,82.6,16.0,84.0,147.2,1.75,3.6,146.98,0,positive_final,B07,high
2,FTR 4288 IPRO,2,87.6,15.8,79.2,151.8,1.92,3.8,139.22,0,negative_final,A12,high
2,FTR 4288 IPRO,3,94.8,17.2,64.0,118.0,1.84,3.6,135.65,1,negative_final,C31,low
2,FTR 4288 IPRO,4,88.33,16.33,75.73,139.0,1.84,3.67,135.19,1,positive_final,C31,low
2,FTR 3190 IPRO,1,64.4,16.6,76.0,168.0,2.21,3.6,145.69,0,negative_final,A12,high
2,FTR 3190 IPRO,2,64.6,17.6,116.8,271.2,2.32,3.8,147.24,0,negative_final,A12,high
2,FTR 3190 IPRO,3,58.8,14.8,86.4,180.6,2.09,2.2,156.32,0,negative_final,A12,high
2,FTR 3190 IPRO,4,62.6,16.33,93.07,206.6,2.21,3.2,157.61,0,negative_final,B07,high
