checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,class
no checking,24,delayed previously,business,2978,no known savings,1<=X<4,4,male single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,1,closed,route_f,type_4,group_x,A12,0.06877686946214018,route_f,type_4,0.0,good
no checking,15,existing paid,used car,4657,<100,1<=X<4,3,male single,none,2,car,30,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_1,group_x,B07,1.0,route_c,type_4,1.0,good
no checking,36,no credits/all paid,repairs,2613,<100,1<=X<4,4,male single,none,2,car,27,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.06920839942823415,route_c,type_4,0.0,good
0<=X<200,48,existing paid,radio/tv,10961,>=1000,4<=X<7,1,male single,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,B07,0.2603142063845091,route_f,type_1,0.1301214071127394,bad
<0,12,existing paid,furniture/equipment,7865,<100,>=7,4,male single,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0,pending,route_c,type_1,group_n,B07,0.11939294633148942,route_c,type_1,1.0,bad
no checking,9,existing paid,radio/tv,1478,<100,4<=X<7,4,male single,none,2,car,22,none,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,bad
<0,24,existing paid,furniture/equipment,3149,<100,<1,4,male single,none,1,no known property,22,bank,for free,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,1.0,good
>=200,36,existing paid,radio/tv,4210,<100,1<=X<4,4,male single,none,2,car,26,none,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.10915200413562065,bad
no checking,9,existing paid,new car,2507,500<=X<1000,>=7,2,male single,none,4,no known property,51,none,for free,1,unskilled resident,1,none,yes,1,closed,route_f,type_1,group_n,B07,1.0,route_f,type_4,1.0,good
no checking,12,existing paid,radio/tv,2141,100<=X<500,4<=X<7,3,male single,none,1,no known property,35,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.33267057773931497,good
0<=X<200,18,existing paid,radio/tv,866,<100,1<=X<4,4,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_4,1.0,good
no checking,4,critical/other existing credit,radio/tv,1544,<100,4<=X<7,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,1,closed,route_f,type_4,group_n,B07,0.9087765443102823,route_c,type_1,0.0,good
<0,24,existing paid,radio/tv,1823,<100,unemployed,4,male single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,none,yes,0,pending,route_c,type_4,group_n,A12,1.0,route_c,type_1,0.13631766861166245,bad
0<=X<200,6,existing paid,new car,14555,no known savings,unemployed,1,male single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.01705732540952702,bad
0<=X<200,21,existing paid,business,2767,100<=X<500,>=7,4,male div/sep,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes,0,pending,route_c,type_1,group_n,B07,0.20921791228566025,route_c,type_1,0.0,bad
no checking,12,critical/other existing credit,radio/tv,1291,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,none,yes,0,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,1.0,good
<0,30,existing paid,radio/tv,2522,<100,>=7,1,male single,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,1.0,good
<0,24,existing paid,new car,915,no known savings,>=7,4,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_4,0.04392805879693958,bad
no checking,6,existing paid,radio/tv,1595,<100,4<=X<7,3,male single,none,2,life insurance,51,none,own,1,skilled,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.9886616199280072,route_f,type_4,0.0,good
<0,48,no credits/all paid,used car,4605,<100,>=7,3,male single,none,4,no known property,24,none,for free,2,skilled,2,none,yes,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,0.9061289704292254,bad
no checking,12,critical/other existing credit,business,1185,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.0,good
no checking,12,all paid,retraining,3447,500<=X<1000,1<=X<4,4,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_4,0.8294050991265324,good
no checking,24,existing paid,business,1258,<100,4<=X<7,4,male single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,1.0,good
no checking,12,critical/other existing credit,radio/tv,717,<100,>=7,4,male single,none,4,real estate,52,none,own,3,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.08466769949934821,good
no checking,6,no credits/all paid,new car,1204,100<=X<500,1<=X<4,4,male single,none,1,no known property,35,bank,rent,1,skilled,1,none,no,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,1.0,good
>=200,24,existing paid,furniture/equipment,1925,<100,1<=X<4,2,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,A12,0.6980737070434901,route_c,type_4,0.0,good
no checking,18,existing paid,radio/tv,433,<100,unemployed,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.07808894146708022,route_c,type_4,0.0,bad
<0,6,critical/other existing credit,new car,666,>=1000,4<=X<7,3,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9557602605558542,route_c,type_4,1.0,good
>=200,12,existing paid,furniture/equipment,2251,<100,1<=X<4,1,female div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_n,A12,0.8791178484966452,route_f,type_4,0.9666895875252337,good
0<=X<200,30,existing paid,new car,2150,<100,1<=X<4,4,female div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.04459210971656736,route_c,type_1,0.006101533423455872,bad
no checking,24,delayed previously,furniture/equipment,4151,100<=X<500,1<=X<4,2,male single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.0,good
0<=X<200,9,existing paid,furniture/equipment,2030,no known savings,4<=X<7,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_1,0.2294387407911328,good
0<=X<200,60,delayed previously,radio/tv,7418,no known savings,1<=X<4,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_n,B07,0.9820975234048717,route_f,type_4,1.0,good
no checking,24,critical/other existing credit,radio/tv,2684,<100,1<=X<4,4,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,1,closed,route_f,type_1,group_n,B07,1.0,route_f,type_1,1.0,good
<0,12,all paid,radio/tv,2149,<100,1<=X<4,4,male div/sep,none,1,no known property,29,none,for free,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_4,1.0,bad
no checking,15,existing paid,used car,3812,100<=X<500,<1,1,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9884233066596554,route_c,type_4,0.8233317145584772,good
no checking,11,critical/other existing credit,radio/tv,1154,100<=X<500,unemployed,4,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.9081668268615625,route_f,type_4,1.0,good
<0,12,existing paid,furniture/equipment,1657,<100,1<=X<4,2,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.9158314908762912,route_f,type_4,1.0,good
<0,24,existing paid,radio/tv,1603,<100,>=7,4,female div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.11101556872502816,route_f,type_4,0.9075265562680411,good
<0,18,critical/other existing credit,new car,5302,<100,>=7,2,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_1,group_x,B07,0.0,route_f,type_1,1.0,good
no checking,12,critical/other existing credit,education,2748,<100,>=7,2,female div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.861380855885697,route_c,type_4,0.0,good
no checking,10,critical/other existing credit,new car,1231,<100,>=7,3,male single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,1,closed,route_f,type_4,group_x,B07,0.776755674295041,route_c,type_1,0.28566743914570286,good
0<=X<200,15,existing paid,radio/tv,802,<100,>=7,4,male single,none,3,car,37,none,own,1,skilled,2,none,yes,0,pending,route_c,type_1,group_n,B07,0.11021766740277028,route_c,type_1,0.2993526293503595,bad
no checking,36,critical/other existing credit,business,6304,no known savings,>=7,4,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,0.8133997387345862,good
no checking,24,existing paid,radio/tv,1533,<100,<1,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,1.0,good
<0,14,existing paid,new car,8978,<100,>=7,1,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no,0,pending,route_c,type_1,group_n,A12,1.0,route_f,type_4,1.0,bad
no checking,24,existing paid,radio/tv,999,no known savings,>=7,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.0,route_f,type_4,0.5295191129162321,good
no checking,18,existing paid,new car,2662,no known savings,4<=X<7,4,male single,none,3,life insurance,32,none,own,1,skilled,1,none,no,1,closed,route_f,type_4,group_x,B07,0.9940192970820481,route_f,type_4,0.849684023679144,good
no checking,12,critical/other existing credit,furniture/equipment,1402,500<=X<1000,4<=X<7,3,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9773830256259998,route_f,type_4,1.0,good
0<=X<200,48,all paid,new car,12169,no known savings,unemployed,4,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,0.0035125686517947187,good
0<=X<200,48,existing paid,radio/tv,3060,<100,4<=X<7,4,male single,none,4,real estate,28,none,own,2,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_4,0.7486237528249347,bad
<0,30,existing paid,repairs,11998,<100,<1,1,male div/sep,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.823847634557231,route_c,type_1,0.0,bad
no checking,9,existing paid,radio/tv,2697,<100,1<=X<4,1,male single,none,2,real estate,32,none,own,1,skilled,2,none,yes,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_1,1.0,good
no checking,18,critical/other existing credit,radio/tv,2404,<100,1<=X<4,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.785574735894154,good
<0,12,existing paid,furniture/equipment,1262,no known savings,>=7,2,male div/sep,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9753050390257263,route_c,type_4,1.0,good
no checking,6,existing paid,furniture/equipment,4611,<100,<1,1,female div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.1939563742384628,bad
no checking,24,existing paid,radio/tv,1901,100<=X<500,1<=X<4,4,male single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_1,group_x,B07,0.05544454139050221,route_f,type_4,0.04823563244755752,good
no checking,15,critical/other existing credit,used car,3368,>=1000,>=7,3,male single,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,0.890276571900575,good
no checking,12,existing paid,furniture/equipment,1574,<100,1<=X<4,4,male single,none,2,real estate,50,none,own,1,skilled,1,none,yes,1,closed,route_f,type_1,group_x,B07,1.0,route_c,type_1,0.9699344061475894,good
>=200,18,all paid,radio/tv,1445,no known savings,4<=X<7,4,male single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.9990799702493262,good
no checking,15,critical/other existing credit,furniture/equipment,1520,no known savings,>=7,4,male single,none,4,life insurance,63,none,own,1,skilled,1,none,yes,1,closed,route_f,type_1,group_n,B07,0.0,route_f,type_1,1.0,good
0<=X<200,24,critical/other existing credit,new car,3878,100<=X<500,<1,4,male div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,1.0,good
<0,47,existing paid,new car,10722,<100,<1,1,female div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,1,closed,route_f,type_4,group_x,A12,1.0,route_f,type_4,1.0,good
<0,48,existing paid,used car,4788,<100,4<=X<7,4,male single,none,3,life insurance,26,none,own,1,skilled,2,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.0,good
0<=X<200,48,delayed previously,other,7582,100<=X<500,unemployed,2,male single,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.8020244218821692,route_f,type_1,0.88612998292229,good
0<=X<200,12,existing paid,radio/tv,1092,<100,1<=X<4,4,female div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,1,closed,route_f,type_1,group_x,B07,0.984796193954988,route_f,type_4,0.03361926280656893,good
<0,24,delayed previously,radio/tv,1024,<100,<1,4,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.025758778694625308,route_c,type_4,1.0,bad
no checking,12,existing paid,business,1076,<100,1<=X<4,2,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,1,closed,route_f,type_4,group_n,B07,0.8483404684932467,route_c,type_4,1.0,good
0<=X<200,36,existing paid,used car,9398,<100,<1,1,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_4,0.35937378167145967,bad
<0,24,critical/other existing credit,used car,6419,<100,>=7,2,female div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,1,closed,route_f,type_4,group_n,B07,0.8132585561484932,route_c,type_4,1.0,good
>=200,42,critical/other existing credit,used car,4796,<100,>=7,4,male single,none,4,no known property,56,none,for free,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,1.0,good
no checking,48,critical/other existing credit,business,7629,no known savings,>=7,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.021989079224521795,route_f,type_4,0.7054715392833988,good
0<=X<200,48,existing paid,furniture/equipment,9960,<100,<1,1,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,1.0,bad
no checking,12,existing paid,used car,4675,no known savings,<1,1,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.7822590194541755,good
no checking,10,existing paid,new car,1287,no known savings,>=7,4,male single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,1,closed,route_f,type_4,group_x,B07,0.9925125644707864,route_c,type_4,0.9873358128596632,good
no checking,18,existing paid,furniture/equipment,2515,<100,1<=X<4,3,male single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,1,closed,route_c,type_4,group_x,B07,1.0,route_f,type_1,1.0,good
0<=X<200,21,critical/other existing credit,furniture/equipment,2745,>=1000,4<=X<7,3,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,1,closed,route_f,type_1,group_x,A12,0.9481219525274058,route_c,type_4,1.0,good
no checking,6,existing paid,new car,672,<100,unemployed,1,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.8938039794015493,route_f,type_1,0.8250778231159834,good
0<=X<200,36,no credits/all paid,radio/tv,3804,<100,1<=X<4,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,1.0,bad
>=200,24,critical/other existing credit,new car,1344,no known savings,4<=X<7,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,bad
<0,10,critical/other existing credit,new car,1038,<100,4<=X<7,4,male single,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.0,good
no checking,48,critical/other existing credit,new car,10127,500<=X<1000,1<=X<4,2,male single,none,2,no known property,44,bank,for free,1,skilled,1,none,yes,0,pending,route_c,type_1,group_x,B07,0.019604496668784947,route_f,type_1,1.0,bad
no checking,6,existing paid,furniture/equipment,1543,>=1000,1<=X<4,4,male div/sep,none,2,real estate,33,none,own,1,skilled,1,none,yes,1,closed,route_f,type_1,group_n,B07,0.0,route_f,type_4,0.21602943531901744,good
no checking,30,existing paid,used car,4811,no known savings,4<=X<7,2,female div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.9439101597579612,route_f,type_1,0.06997116656163835,good
<0,12,existing paid,radio/tv,727,100<=X<500,<1,4,male mar/wid,none,3,no known property,33,none,own,1,unskilled resident,1,yes,yes,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_4,0.0,bad
0<=X<200,8,existing paid,furniture/equipment,1237,<100,1<=X<4,3,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.33227353407966864,route_c,type_1,0.0,bad
0<=X<200,9,existing paid,new car,276,<100,1<=X<4,4,male mar/wid,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.8978789174264873,route_c,type_4,1.0,good
0<=X<200,48,existing paid,other,5381,no known savings,unemployed,3,male single,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9260687088676295,route_f,type_1,1.0,good
no checking,24,existing paid,furniture/equipment,5511,100<=X<500,1<=X<4,4,male single,none,1,car,25,stores,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.37573195855286534,good
>=200,24,existing paid,furniture/equipment,3749,<100,<1,2,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.4902400494209145,good
0<=X<200,12,existing paid,new car,685,<100,4<=X<7,2,male mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,0,closed,route_c,type_1,group_n,A12,0.0,route_f,type_1,1.0,bad
>=200,4,existing paid,new car,1494,no known savings,<1,1,male single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,1.0,good
<0,36,all paid,furniture/equipment,2746,<100,>=7,4,male single,none,4,car,31,bank,own,1,skilled,1,none,yes,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.22005569972054626,bad
<0,12,existing paid,furniture/equipment,708,<100,1<=X<4,2,male single,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes,1,closed,route_f,type_4,group_x,A12,1.0,route_c,type_4,1.0,good
0<=X<200,24,existing paid,furniture/equipment,4351,no known savings,1<=X<4,1,female div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,1,closed,route_f,type_1,group_x,B07,0.9720474979833847,route_f,type_4,0.151248995087654,good
no checking,12,critical/other existing credit,education,701,<100,1<=X<4,4,male single,none,2,car,32,none,own,2,skilled,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.9417270499426535,route_f,type_1,0.9141959978586027,good
<0,15,delayed previously,furniture/equipment,3643,<100,>=7,1,female div/dep/mar,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,0.7509664468968067,good
0<=X<200,30,critical/other existing credit,new car,4249,<100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,0,pending,route_c,type_4,group_n,B07,0.07504817922734995,route_c,type_4,0.0567471382483223,bad
<0,24,existing paid,radio/tv,1938,<100,<1,4,male div/sep,none,3,life insurance,32,none,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.12892110046202,route_c,type_1,1.0,bad
<0,24,existing paid,used car,2910,<100,4<=X<7,2,male single,none,1,no known property,34,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1,pending,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.8688199819274187,good
<0,18,existing paid,furniture/equipment,2659,>=1000,1<=X<4,4,male single,none,2,car,28,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_n,A12,0.0,route_f,type_4,0.8525751410489952,good
no checking,18,critical/other existing credit,new car,1028,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,A12,1.0,route_f,type_4,1.0,good
<0,8,critical/other existing credit,new car,3398,<100,4<=X<7,1,male single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,1,closed,route_f,type_4,group_x,A12,1.0,route_f,type_4,0.907407845958929,good
no checking,12,critical/other existing credit,furniture/equipment,5801,no known savings,>=7,2,male single,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_n,B07,1.0,route_c,type_4,0.9168616174485336,good
no checking,24,existing paid,new car,1525,>=1000,4<=X<7,4,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.9244382847283861,good
>=200,36,existing paid,radio/tv,4473,<100,>=7,4,male single,none,2,car,31,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,0.986841351349428,good
0<=X<200,6,existing paid,radio/tv,1068,<100,>=7,4,male single,none,4,car,28,none,own,1,skilled,2,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.0,good
<0,24,critical/other existing credit,used car,6615,<100,unemployed,2,male single,none,4,no known property,75,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,0.8907836272103207,good
no checking,18,critical/other existing credit,education,1864,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.01818391958821028,route_c,type_4,0.046649523875793686,bad
0<=X<200,60,existing paid,new car,7408,100<=X<500,<1,4,female div/dep/mar,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,none,yes,0,pending,route_c,type_4,group_x,A12,0.0,route_f,type_1,0.04520568207540293,bad
no checking,48,critical/other existing credit,used car,11590,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.2344935931473664,bad
<0,24,no credits/all paid,furniture/equipment,4110,<100,>=7,3,male single,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,0,pending,route_c,type_1,group_n,A12,0.02930720930770465,route_c,type_4,0.3724769249944479,bad
<0,6,critical/other existing credit,furniture/equipment,3384,<100,1<=X<4,1,male div/sep,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_1,0.3062778979495416,bad
0<=X<200,13,existing paid,radio/tv,2101,<100,<1,2,female div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_n,B07,1.0,route_c,type_4,1.0,good
<0,15,existing paid,domestic appliance,1275,no known savings,1<=X<4,4,female div/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes,0,pending,route_c,type_1,group_x,A12,0.002823242472052221,route_c,type_1,0.0,bad
<0,24,existing paid,furniture/equipment,4169,<100,1<=X<4,4,male single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,0.8738285133337318,good
0<=X<200,10,existing paid,furniture/equipment,1521,<100,1<=X<4,4,male div/sep,none,2,car,31,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,1.0,good
0<=X<200,24,critical/other existing credit,education,5743,<100,<1,2,female div/dep/mar,none,4,no known property,24,none,for free,2,skilled,1,yes,yes,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,1.0,good
<0,21,existing paid,furniture/equipment,3599,<100,4<=X<7,1,female div/dep/mar,none,4,car,26,none,rent,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_n,A12,0.8188442919024852,route_f,type_4,0.1664424041447477,good
0<=X<200,18,existing paid,radio/tv,3213,500<=X<1000,<1,1,male mar/wid,none,3,real estate,25,none,rent,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,1.0,good
0<=X<200,18,existing paid,business,4439,<100,>=7,1,male single,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_1,group_x,B07,0.9811994426893236,route_f,type_4,0.0,good
>=200,10,existing paid,new car,3949,<100,<1,1,male single,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.989282544885395,route_f,type_1,0.15933960356805796,good
no checking,15,critical/other existing credit,radio/tv,1459,<100,1<=X<4,4,female div/dep/mar,none,2,car,43,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,A12,0.9546159875473311,route_c,type_4,1.0,good
0<=X<200,13,critical/other existing credit,radio/tv,882,<100,<1,4,male single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.9352854555713164,route_f,type_4,1.0,good
0<=X<200,24,existing paid,radio/tv,3758,500<=X<1000,unemployed,1,female div/dep/mar,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.9935173563294117,good
